"Word","Length"
"additive","8"
"additives","9"
"addle","5"
"address","7"
"addressed","9"
"addressee","9"
"addressees","10"
"addresses","9"
"addressing","10"
"adds","4"
"adduce","6"
"Adele","5"
"adept","5"
"adequacy","8"
"adequate","8"
"adequately","10"
"adhere","6"
"adhered","7"
"adherence","9"
"adherent","8"
"adherents","9"
"adheres","7"
"adhesion","8"
"adhesive","8"
"adhesives","9"
"adieu","5"
"adios","5"
"adipose","7"
"adirondack","10"
"adirondacks","11"
"adjacent","8"
"adjectival","10"
"adjective","9"
"adjectives","10"
"adjoin","6"
"adjoined","8"
"adjoining","9"
"adjoins","7"
"adjourn","7"
"adjourned","9"
"adjourning","10"
"adjournment","11"
"adjourns","8"
"adjudge","7"
"adjudged","8"
"adjudging","9"
"adjudicate","10"
"adjudication","12"
"adjunct","7"
"adjuncts","8"
"adjure","6"
"adjust","6"
"adjustable","10"
"adjusted","8"
"adjusting","9"
"adjustment","10"
"adjustments","11"
"adjusts","7"
"Adlai","5"
"administer","10"
"administered","12"
"administering","13"
"administers","11"
"administration","14"
"administration's","16"
"administrative","14"
"administratively","16"
"administrator","13"
"administrators","14"
"admirable","9"
"admirably","9"
"admiral","7"
"admirals","8"
"admiralty","9"
"admiration","10"
"admire","6"
"admired","7"
"admirer","7"
"admirers","8"
"admires","7"
"admiring","8"
"admiringly","10"
"admissible","10"
"admission","9"
"admissions","10"
"admit","5"
"admits","6"
"admittance","10"
"admitted","8"
"admittedly","10"
"admitting","9"
"admixed","7"
"admonish","8"
"admonished","10"
"admonishing","11"
"admonishments","13"
"admonition","10"
"admonitions","11"
"ado","3"
"adobe","5"
"adolescence","11"
"adolescent","10"
"adolescents","11"
"adolescent's","12"
"Adolf","5"
"Adonis","6"
"adopt","5"
"adopted","7"
"adopting","8"
"adoption","8"
"adopts","6"
"adorable","8"
"adoration","9"
"adore","5"
"adored","6"
"adores","6"
"adorn","5"
"adorned","7"
"adornment","9"
"adorns","6"
"adrenal","7"
"adrenalin","9"
"Adrian","6"
"Adriatic","8"
"adrift","6"
"adroit","6"
"adroitness","10"
"ads","3"
"adsorbed","8"
"adsorbs","7"
"adulation","9"
"adult","5"
"adulterant","10"
"adulterate","10"
"adulterated","11"
"adulterer","9"
"adulterers","10"
"adulteress","10"
"adulterous","10"
"adultery","8"
"adulthood","9"
"adults","6"
"advance","7"
"advanced","8"
"advancement","11"
"advancements","12"
"advances","8"
"advancing","9"
"advantage","9"
"advantageous","12"
"advantageously","14"
"advantages","10"
"advent","6"
"adventitious","12"
"adventure","9"
"adventurers","11"
"adventures","10"
"adventuring","11"
"adventurous","11"
"adverb","6"
"adverbial","9"
"adverbs","7"
"adversaries","11"
"adversary","9"
"adverse","7"
"adversely","9"
"adversity","9"
"advert","6"
"advertise","9"
"advertised","10"
"advertisement","13"
"advertisements","14"
"advertiser","10"
"advertisers","11"
"advertises","10"
"advertising","11"
"advice","6"
"advisability","12"
"advisable","9"
"advise","6"
"advised","7"
"advisedly","9"
"advisement","10"
"adviser","7"
"advisers","8"
"advises","7"
"advising","8"
"advisor","7"
"advisors","8"
"advisory","8"
"advocacy","8"
"advocate","8"
"advocated","9"
"advocates","9"
"advocating","10"
"Aegean","6"
"aerate","6"
"aerated","7"
"aerates","7"
"aeration","8"
"aerator","7"
"aerial","6"
"aerials","7"
"aerobatic","9"
"aerobic","7"
"aerodynamic","11"
"aeronaut","8"
"aeronautical","12"
"aeronautics","11"
"aeroplane","9"
"aerosol","7"
"aerosolized","11"
"aerosols","8"
"aerospace","9"
"Aeschylus","9"
"aesthetic","9"
"aesthetics","10"
"afar","4"
"affable","7"
"affair","6"
"affairs","7"
"affect","6"
"affectation","11"
"affected","8"
"affecting","9"
"affectingly","11"
"affection","9"
"affectionate","12"
"affectionately","14"
"affections","10"
"affects","7"
"afferent","8"
"affianced","9"
"affidavit","9"
"affidavits","10"
"affiliate","9"
"affiliated","10"
"affiliates","10"
"affiliation","11"
"affiliations","12"
"affinities","10"
"affinity","8"
"affirm","6"
"affirmation","11"
"affirmations","12"
"affirmative","11"
"affirmatively","13"
"affirmed","8"
"affirming","9"
"affirms","7"
"affix","5"
"affixed","7"
"afflict","7"
"afflicted","9"
"affliction","10"
"afflictions","11"
"affluence","9"
"affluent","8"
"afford","6"
"afforded","8"
"affording","9"
"affords","7"
"affricate","9"
"affront","7"
"affronted","9"
"affronting","10"
"Afghan","6"
"Afghanistan","11"
"Afghans","7"
"aficionado","10"
"afield","6"
"afire","5"
"aflame","6"
"afloat","6"
"afoot","5"
"aforementioned","14"
"aforesaid","9"
"aforethought","12"
"afoul","5"
"afraid","6"
"Africa","6"
"African","7"
"Africans","8"
"afro","4"
"aft","3"
"after","5"
"afterbirth","10"
"aftercare","9"
"aftereffect","11"
"afterglow","9"
"afterlife","9"
"aftermath","9"
"afternoon","9"
"afternoons","10"
"afternoon's","11"
"aftershave","10"
"aftertaste","10"
"afterthought","12"
"afterward","9"
"afterwards","10"
"again","5"
"against","7"
"Agamemnon","9"
"Agamemnon's","11"
"agape","5"
"agar","4"
"Agatha","6"
"age","3"
"aged","4"
"ageless","7"
"agencies","8"
"agency","6"
"agenda","6"
"agent","5"
"agents","6"
"agent's","7"
"ages","4"
"Aggie","5"
"Aggies","6"
"agglomerate","11"
"agglomeration","13"
"agglutinating","13"
"agglutination","13"
"aggrandize","10"
"aggravate","9"
"aggravated","10"
"aggravates","10"
"aggravation","11"
"aggregate","9"
"aggregation","11"
"aggregations","12"
"aggression","10"
"aggressions","11"
"aggressive","10"
"aggressively","12"
"aggressiveness","14"
"aggressor","9"
"aggrieve","8"
"aggrieved","9"
"aghast","6"
"agile","5"
"agilely","7"
"agility","7"
"aging","5"
"agitate","7"
"agitated","8"
"agitating","9"
"agitation","9"
"agitator","8"
"agitators","9"
"agleam","6"
"aglow","5"
"Agnes","5"
"agnostic","8"
"agnostics","9"
"ago","3"
"agonies","7"
"agonize","7"
"agonized","8"
"agonizes","8"
"agonizing","9"
"agony","5"
"agoraphobia","11"
"agrarian","8"
"agree","5"
"agreeable","9"
"agreeableness","13"
"agreeably","9"
"agreed","6"
"agreeing","8"
"agreement","9"
"agreements","10"
"agrees","6"
"agricultural","12"
"agriculturalist","15"
"agriculturally","14"
"agriculture","11"
"agriculture's","13"
"agriculturist","13"
"Agrippa","7"
"agronomy","8"
"aground","7"
"ah","2"
"ahead","5"
"ahem","4"
"ahoy","4"
"aid","3"
"aide","4"
"aided","5"
"aides","5"
"aiding","6"
"aids","4"
"ail","3"
"ailerons","8"
"ailing","6"
"ailment","7"
"ailments","8"
"aim","3"
"aimed","5"
"aiming","6"
"aimless","7"
"aimlessly","9"
"aims","4"
"ain't","5"
"air","3"
"airbase","7"
"airbed","6"
"airbladder","10"
"airborne","8"
"airbrake","8"
"airbus","6"
"aircraft","8"
"aircraft's","10"
"aircrew","7"
"aircushion","10"
"airdrop","7"
"airdrops","8"
"aired","5"
"airfield","8"
"airfields","9"
"airflow","7"
"airforce","8"
"airframe","8"
"airily","6"
"airless","7"
"airlift","7"
"airline","7"
"airliner","8"
"airlines","8"
"airlock","7"
"airmail","7"
"airman's","8"
"airmen","6"
"airpark","7"
"airplane","8"
"airplanes","9"
"airport","7"
"airports","8"
"airs","4"
"airshaft","8"
"airship","7"
"airsick","7"
"airspace","8"
"airspeed","8"
"airstrip","8"
"airstrips","9"
"airtight","8"
"airway","6"
"airways","7"
"airy","4"
"aisle","5"
"ajar","4"
"akin","4"
"Akron","5"
"Al","2"
"Alabama","7"
"Alabamans","9"
"alabaster","9"
"Alamo","5"
"Alamogordo","10"
"Alan","4"
"alarm","5"
"alarmed","7"
"alarming","8"
"alarmingly","10"
"alarmist","8"
"alarms","6"
"alas","4"
"Alaska","6"
"albacore","8"
"Albania","7"
"Albanian","8"
"Albanians","9"
"Albany","6"
"albatross","9"
"albeit","6"
"Albert","6"
"albino","6"
"album","5"
"albumin","7"
"albums","6"
"alchemist","9"
"alchemy","7"
"alcohol","7"
"alcoholic","9"
"alcoholics","10"
"alcoholism","10"
"alcohols","8"
"alcove","6"
"alcoves","7"
"alderman","8"
"aldermen","8"
"ale","3"
"alehouse","8"
"alert","5"
"alerted","7"
"alerting","8"
"alertly","7"
"alertness","9"
"alerts","6"
"Alex","4"
"Alexander","9"
"Alexander's","11"
"Alexandria","10"
"Alexei","6"
"Alexis","6"
"Alex's","6"
"alfalfa","7"
"Alfonso","7"
"Alfred","6"
"alfredo","7"
"Alfred's","8"
"alga","4"
"algae","5"
"algaecide","9"
"algebra","7"
"algebraic","9"
"algebraically","13"
"Algeria","7"
"Algerian","8"
"Algerians","9"
"algorithm","9"
"alias","5"
"alibi","5"
"alibis","6"
"Alice","5"
"Alicia","6"
"alien","5"
"alienable","9"
"alienate","8"
"alienated","9"
"alienates","9"
"alienation","10"
"aliens","6"
"alight","6"
"align","5"
"aligned","7"
"aligning","8"
"alignment","9"
"alignments","10"
"alike","5"
"aliment","7"
"alimony","7"
"alive","5"
"alkali","6"
"alkaline","8"
"alkalis","7"
"all","3"
"Allah","5"
"Allan","5"
"allay","5"
"allegation","10"
"allegations","11"
"allege","6"
"alleged","7"
"allegedly","9"
"allegiance","10"
"allegiances","11"
"alleging","8"
"allegoric","9"
"allegorical","11"
"allegory","8"
"allegretto","10"
"allegro","7"
"Alleluia","8"
"Allen","5"
"Allen's","7"
"allergen","8"
"allergic","8"
"allergies","9"
"allergy","7"
"alleviate","9"
"alleviating","11"
"alleviation","11"
"alley","5"
"alleys","6"
"alleyway","8"
"alleyways","9"
"alliance","8"
"alliances","9"
"alliance's","10"
"allied","6"
"allies","6"
"alligator","9"
"alligatored","11"
"Allison","7"
"Allison's","9"
"alliterate","10"
"alliteration","12"
"alliterative","12"
"allocable","9"
"allocate","8"
"allocated","9"
"allocation","10"
"allocations","11"
"allopathic","10"
"allopathy","9"
"allot","5"
"alloted","7"
"allotment","9"
"allotments","10"
"allotted","8"
"allotting","9"
"allow","5"
"allowable","9"
"allowance","9"
"allowances","10"
"allowed","7"
"allowing","8"
"allows","6"
"alloy","5"
"alloys","6"
"allspice","8"
"alluded","7"
"alludes","7"
"alluding","8"
"allure","6"
"allurement","10"
"alluring","8"
"allusion","8"
"allusions","9"
"allusive","8"
"allusiveness","12"
"ally","4"
"almanac","7"
"Almighty","8"
"almond","6"
"almonds","7"
"almost","6"
"alms","4"
"aloe","4"
"aloes","5"
"aloft","5"
"alone","5"
"aloneness","9"
"along","5"
"alongside","9"
"aloof","5"
"aloofness","9"
"aloud","5"
"Alp","3"
"alpha","5"
"alphabet","8"
"alphabetic","10"
"alphabetical","12"
"alphabetized","12"
"Alpine","6"
"Alps","4"
"already","7"
"alright","7"
"Al's","4"
"also","4"
"altar","5"
"altarpiece","10"
"alter","5"
"alteration","10"
"alterations","11"
"altercate","9"
"altercation","11"
"altered","7"
"altering","8"
"alterman","8"
"alternate","9"
"alternated","10"
"alternately","11"
"alternating","11"
"alternation","11"
"alternative","11"
"alternatively","13"
"alternatives","12"
"alternator","10"
"alters","6"
"although","8"
"altitude","8"
"alto","4"
"altogether","10"
"altruism","8"
"altruist","8"
"altruistically","14"
"alum","4"
"aluminium","9"
"aluminum","8"
"alumnae","7"
"alumni","6"
"alveolar","8"
"alveoli","7"
"alveolus","8"
"always","6"
"am","2"
"amalgamate","10"
"amalgamated","11"
"amalgamation","12"
"amass","5"
"amassing","8"
"amateur","7"
"amateurish","10"
"amateurishness","14"
"amateurs","8"
"amatory","7"
"amaze","5"
"amazed","6"
"amazement","9"
"amazing","7"
"amazingly","9"
"Amazon","6"
"Amazonian","9"
"Amazons","7"
"ambassador","10"
"ambassadors","11"
"ambassador's","12"
"amber","5"
"ambiance","8"
"ambidextrous","12"
"ambience","8"
"ambient","7"
"ambiguities","11"
"ambiguity","9"
"ambiguous","9"
"ambition","8"
"ambitions","9"
"ambitious","9"
"ambitiously","11"
"ambivalence","11"
"ambivalent","10"
"amble","5"
"ambled","6"
"ambling","7"
"Ambrose","7"
"ambrosia","8"
"ambrosial","9"
"ambulance","9"
"ambulances","10"
"ambulatory","10"
"ambuscade","9"
"ambush","6"
"ambushed","8"
"ambushes","8"
"Amelia's","8"
"ameliorate","10"
"Amen","4"
"amenable","8"
"amend","5"
"amendable","9"
"amended","7"
"amending","8"
"amendment","9"
"amendments","10"
"amendment's","11"
"amenity","7"
"America","7"
"American","8"
"Americana","9"
"Americanize","11"
"Americans","9"
"American's","10"
"Americas","8"
"America's","9"
"amethyst","8"
"amiable","7"
"amicable","8"
"amicably","8"
"amid","4"
"amide","5"
"amidst","6"
"amigo","5"
"amino","5"
"amiss","5"
"amity","5"
"ammo","4"
"ammonia","7"
"ammonium","8"
"ammunition","10"
"amnesia","7"
"amnesty","7"
"amoeba","6"
"amok","4"
"among","5"
"amongst","7"
"amoral","6"
"amorality","9"
"amorist","7"
"amorous","7"
"amorphous","9"
"amorphously","11"
"amortization","12"
"amortize","8"
"amory","5"
"amount","6"
"amounted","8"
"amounting","9"
"amounts","7"
"amour","5"
"amp","3"
"ampere","6"
"ampersand","9"
"amphetamine","11"
"amphetamines","12"
"amphibian","9"
"amphibious","10"
"amphitheater","12"
"ample","5"
"amplification","13"
"amplified","9"
"amplifier","9"
"amplifiers","10"
"amplify","7"
"amplifying","10"
"amplitude","9"
"amply","5"
"amputate","8"
"amputated","9"
"amputation","10"
"amputee","7"
"Amsterdam","9"
"amuck","5"
"amulet","6"
"amulets","7"
"amuse","5"
"amused","6"
"amusedly","8"
"amusement","9"
"amusements","10"
"amusing","7"
"amusingly","9"
"Amy","3"
"an","2"
"anachronism","11"
"anachronisms","12"
"anachronistically","17"
"anaconda","8"
"anacondas","9"
"anaconda's","10"
"anaerobic","9"
"anaesthetic","11"
"anaesthetize","12"
"anagram","7"
"anal","4"
"analeptic","9"
"analogies","9"
"analogous","9"
"analogy","7"
"analysed","8"
"analyses","8"
"analysis","8"
"analyst","7"
"analysts","8"
"analyst's","9"
"analytic","8"
"analytical","10"
"analytically","12"
"analyzable","10"
"analyze","7"
"analyzed","8"
"analyzer","8"
"analyzes","8"
"analyzing","9"
"anarchic","8"
"anarchical","10"
"anarchism","9"
"anarchist","9"
"anarchy","7"
"anatomic","8"
"anatomical","10"
"anatomically","12"
"anatomy","7"
"ancestor","8"
"ancestors","9"
"ancestral","9"
"ancestry","8"
"anchor","6"
"Anchorage","9"
"anchored","8"
"anchoring","9"
"anchorman","9"
"anchors","7"
"anchovy","7"
"ancient","7"
"anciently","9"
"ancients","8"
"ancillary","9"
"and","3"
"andante","7"
"Andean","6"
"Andersen","8"
"Andover","7"
"Andre","5"
"Andrea","6"
"Andrew","6"
"androgynous","11"
"Andy","4"
"Andy's","6"
"anecdotal","9"
"anecdote","8"
"anecdotes","9"
"anemia","6"
"anemic","6"
"anemone","7"
"anesthetic","10"
"anesthetically","14"
"anesthetics","11"
"anesthetized","12"
"anew","4"
"angel","5"
"angelic","7"
"Angelica","8"
"Angelina","8"
"Angelo","6"
"Angelo's","8"
"angels","6"
"angel's","7"
"anger","5"
"angered","7"
"Angie","5"
"angle","5"
"angler","6"
"angles","6"
"Anglican","8"
"Anglicanism","11"
"Anglicans","9"
"Anglicism","9"
"Anglicize","9"
"angling","7"
"Anglophile","10"
"Anglophilia","11"
"Anglophobe","10"
"Anglophobia","11"
"Angola","6"
"Angora","6"
"angriest","8"
"angrily","7"
"angry","5"
"angst","5"
"anguish","7"
"anguished","9"
"angular","7"
"anhydrous","9"
"anhydrously","11"
"animal","6"
"animalism","9"
"animals","7"
"animal's","8"
"animate","7"
"animated","8"
"animation","9"
"animism","7"
"animosity","9"
"anion","5"
"anionic","7"
"aniseed","7"
"Anita","5"
"ankle","5"
"ankles","6"
"anklet","6"
"Ann","3"
"Anna","4"
"annals","6"
"Annapolis","9"
"Anne","4"
"Anne's","6"
"annex","5"
"annexation","10"
"Annie","5"
"annihilate","10"
"annihilation","12"
"anniversaries","13"
"anniversary","11"
"annotate","8"
"annotation","10"
"announce","8"
"announced","9"
"announcement","12"
"announcements","13"
"announcer","9"
"announcers","10"
"announcer's","11"
"announces","9"
"announcing","10"
"annoy","5"
"annoyance","9"
"annoyances","10"
"annoyed","7"
"annoying","8"
"annoys","6"
"Ann's","5"
"annual","6"
"annually","8"
"annuity","7"
"annul","5"
"annulment","9"
"annum","5"
"annunciated","11"
"annunciation","12"
"anode","5"
"anodes","6"
"anoint","6"
"anointment","10"
"anomalies","9"
"anomalous","9"
"anomaly","7"
"anomic","6"
"anomie","6"
"anon","4"
"anonymity","9"
"anonymous","9"
"anorexia","8"
"another","7"
"another's","9"
"answer","6"
"answerable","10"
"answered","8"
"answering","9"
"answers","7"
"ant","3"
"antacid","7"
"antagonism","10"
"antagonisms","11"
"antagonist","10"
"antagonistic","12"
"antagonists","11"
"antagonize","10"
"Antarctic","9"
"Antarctica","10"
"ante","4"
"anteater","8"
"antecede","8"
"antecedent","10"
"antecedents","11"
"antechamber","11"
"antedate","8"
"antelope","8"
"antenna","7"
"antennae","8"
"antennas","8"
"anterior","8"
"anteriors","9"
"anteroom","8"
"anthem","6"
"anthems","7"
"anthill","7"
"anthologize","11"
"anthology","9"
"Anthony","7"
"Anthony's","9"
"anthrax","7"
"anthropocentric","15"
"anthropoid","10"
"anthropological","15"
"anthropologist","14"
"anthropologists","15"
"anthropology","12"
"anthropomorphic","15"
"anthropomorphism","16"
"antiaircraft","12"
"antibiotic","10"
"antibiotics","11"
"antibodies","10"
"antibody","8"
"antic","5"
"anticipate","10"
"anticipated","11"
"anticipates","11"
"anticipating","12"
"anticipation","12"
"anticipations","13"
"anticipatory","12"
"anticlerical","12"
"anticlimax","10"
"anticoagulation","15"
"antics","6"
"antidote","8"
"Antietam","8"
"antifreeze","10"
"antifundamentalist","18"
"Antigua","7"
"antihero","8"
"antihistamine","13"
"antimatter","10"
"antipathy","9"
"antipersonnel","13"
"antiquary","9"
"antiquate","9"
"antiquated","10"
"antique","7"
"antiques","8"
"antiquities","11"
"antiquity","9"
"antiseptic","10"
"antiserum","9"
"antislavery","11"
"antisocial","10"
"antisubmarine","13"
"antitank","8"
"antithesis","10"
"antithyroid","11"
"antitoxin","9"
"antitrust","9"
"antler","6"
"Antoine","7"
"Antoine's","9"
"Antoinette","10"
"Antonio","7"
"antonym","7"
"ants","4"
"anus","4"
"anvil","5"
"anxieties","9"
"anxiety","7"
"anxious","7"
"anxiously","9"
"any","3"
"anybody","7"
"anybody's","9"
"anyhow","6"
"anymore","7"
"anyone","6"
"anyone's","8"
"anyplace","8"
"anything","8"
"anyway","6"
"anyways","7"
"anywhere","8"
"aorta","5"
"Apache","6"
"Apaches","7"
"apart","5"
"apartheid","9"
"apartment","9"
"apartments","10"
"apathetic","9"
"apathy","6"
"ape","3"
"aperitif","8"
"aperture","8"
"apex","4"
"aphasia","7"
"aphid","5"
"aphorism","8"
"aphrodisiac","11"
"Aphrodite","9"
"apiary","6"
"apiculture","10"
"apiece","6"
"apocalypse","10"
"apocalyptic","11"
"apogee","6"
"Apollo","6"
"Apollonian","10"
"Apollo's","8"
"apologetic","10"
"apologetically","14"
"apologies","9"
"apologist","9"
"apologize","9"
"apologized","10"
"apology","7"
"apoplexy","8"
"apostle","7"
"apostles","8"
"Apostolic","9"
"apostrophe","10"
"apothecary","10"
"appal","5"
"Appalachian","11"
"Appalachians","12"
"appalled","8"
"appalling","9"
"appallingly","11"
"apparatus","9"
"apparel","7"
"appareled","9"
"apparency","9"
"apparent","8"
"apparently","10"
"apparition","10"
"appeal","6"
"appealed","8"
"appealing","9"
"appeals","7"
"appear","6"
"appearance","10"
"appearances","11"
"appeared","8"
"appearing","9"
"appears","7"
"appease","7"
"appeased","8"
"appeasement","11"
"appeasing","9"
"appellant","9"
"appellate","9"
"append","6"
"appendage","9"
"appendages","10"
"appendectomy","12"
"appended","8"
"appendicitis","12"
"appendix","8"
"appendixes","10"
"appetite","8"
"appetites","9"
"appetizer","9"
"appetizing","10"
"applaud","7"
"applauded","9"
"applauding","10"
"applause","8"
"apple","5"
"apples","6"
"appliance","9"
"appliances","10"
"applicable","10"
"applicant","9"
"applicants","10"
"application","11"
"applications","12"
"applicator","10"
"applied","7"
"applies","7"
"apply","5"
"applying","8"
"appoint","7"
"appointed","9"
"appointee","9"
"appointees","10"
"appointing","10"
"appointment","11"
"appointments","12"
"appoints","8"
"apportion","9"
"apportioned","11"
"apportionment","13"
"apportionments","14"
"appraisal","9"
"appraisals","10"
"appraise","8"
"appraised","9"
"appraisers","10"
"appraising","10"
"appraisingly","12"
"appreciable","11"
"appreciably","11"
"appreciate","10"
"appreciated","11"
"appreciates","11"
"appreciating","12"
"appreciation","12"
"appreciations","13"
"appreciative","12"
"appreciatively","14"
"apprehend","9"
"apprehended","11"
"apprehension","12"
"apprehensions","13"
"apprehensive","12"
"apprehensively","14"
"apprentice","10"
"apprenticed","11"
"apprentices","11"
"apprenticeship","14"
"apprise","7"
"approach","8"
"approachable","12"
"approached","10"
"approaches","10"
"approaching","11"
"approbate","9"
"approbation","11"
